
5700	Obj: 0.1539,	F: 0.3896,	Cf: 0.4328,	ValObj: 0.1539,	VaF: 0.3897,	ate_train: 1.2467,	ate_test: 1.2535	pehe_train: 1.3984,	pehe_test: 1.4029,	ate_ood: 0.7298,	pehe_ood: 0.7189
5800	Obj: 0.1540,	F: 0.3898,	Cf: 0.4345,	ValObj: 0.1537,	VaF: 0.3894,	ate_train: 1.2536,	ate_test: 1.2604	pehe_train: 1.3896,	pehe_test: 1.3951,	ate_ood: 0.7736,	pehe_ood: 0.7677
5900	Obj: 0.1545,	F: 0.3905,	Cf: 0.4263,	ValObj: 0.1540,	VaF: 0.3898,	ate_train: 1.2634,	ate_test: 1.2695	pehe_train: 1.3731,	pehe_test: 1.3776,	ate_ood: 0.8155,	pehe_ood: 0.8114
6000	Obj: 0.1553,	F: 0.3915,	Cf: 0.4422,	ValObj: 0.1550,	VaF: 0.3911,	ate_train: 1.2878,	ate_test: 1.2936	pehe_train: 1.4519,	pehe_test: 1.4570,	ate_ood: 0.8988,	pehe_ood: 0.9600
6100	Obj: 0.1545,	F: 0.3903,	Cf: 0.4496,	ValObj: 0.1546,	VaF: 0.3904,	ate_train: 1.2425,	ate_test: 1.2494	pehe_train: 1.4313,	pehe_test: 1.4373,	ate_ood: 0.7292,	pehe_ood: 0.7644
6200	Obj: 0.1543,	F: 0.3902,	Cf: 0.4275,	ValObj: 0.1543,	VaF: 0.3901,	ate_train: 1.2315,	ate_test: 1.2371	pehe_train: 1.3484,	pehe_test: 1.3523,	ate_ood: 0.8103,	pehe_ood: 0.8404
6300	Obj: 0.1538,	F: 0.3895,	Cf: 0.4496,	ValObj: 0.1537,	VaF: 0.3894,	ate_train: 1.2848,	ate_test: 1.2907	pehe_train: 1.4735,	pehe_test: 1.4788,	ate_ood: 0.8407,	pehe_ood: 0.9124
6400	Obj: 0.1535,	F: 0.3891,	Cf: 0.4520,	ValObj: 0.1536,	VaF: 0.3892,	ate_train: 1.2915,	ate_test: 1.2980	pehe_train: 1.4790,	pehe_test: 1.4862,	ate_ood: 0.8317,	pehe_ood: 0.8885
6500	Obj: 0.1536,	F: 0.3892,	Cf: 0.4408,	ValObj: 0.1537,	VaF: 0.3894,	ate_train: 1.2766,	ate_test: 1.2824	pehe_train: 1.4394,	pehe_test: 1.4444,	ate_ood: 0.8484,	pehe_ood: 0.9204
6600	Obj: 0.1535,	F: 0.3891,	Cf: 0.4394,	ValObj: 0.1537,	VaF: 0.3893,	ate_train: 1.2363,	ate_test: 1.2429	pehe_train: 1.3966,	pehe_test: 1.4021,	ate_ood: 0.7927,	pehe_ood: 0.8522
6700	Obj: 0.1538,	F: 0.3895,	Cf: 0.4385,	ValObj: 0.1536,	VaF: 0.3892,	ate_train: 1.2396,	ate_test: 1.2457	pehe_train: 1.3926,	pehe_test: 1.3982,	ate_ood: 0.8858,	pehe_ood: 1.0012
6800	Obj: 0.1541,	F: 0.3899,	Cf: 0.4574,	ValObj: 0.1539,	VaF: 0.3895,	ate_train: 1.2530,	ate_test: 1.2602	pehe_train: 1.4607,	pehe_test: 1.4684,	ate_ood: 0.8356,	pehe_ood: 0.9791
6900	Obj: 0.1535,	F: 0.3890,	Cf: 0.4620,	ValObj: 0.1539,	VaF: 0.3895,	ate_train: 1.2596,	ate_test: 1.2666	pehe_train: 1.4824,	pehe_test: 1.4902,	ate_ood: 0.7650,	pehe_ood: 0.8861
7000	Obj: 0.1531,	F: 0.3886,	Cf: 0.4440,	ValObj: 0.1529,	VaF: 0.3884,	ate_train: 1.2709,	ate_test: 1.2769	pehe_train: 1.4337,	pehe_test: 1.4377,	ate_ood: 0.8890,	pehe_ood: 1.0011
7100	Obj: 0.1528,	F: 0.3882,	Cf: 0.4579,	ValObj: 0.1530,	VaF: 0.3884,	ate_train: 1.2661,	ate_test: 1.2725	pehe_train: 1.4778,	pehe_test: 1.4841,	ate_ood: 0.8557,	pehe_ood: 1.0137
7200	Obj: 0.1532,	F: 0.3886,	Cf: 0.4522,	ValObj: 0.1535,	VaF: 0.3890,	ate_train: 1.2810,	ate_test: 1.2877	pehe_train: 1.4626,	pehe_test: 1.4695,	ate_ood: 0.8693,	pehe_ood: 0.9986
7300	Obj: 0.1530,	F: 0.3884,	Cf: 0.4610,	ValObj: 0.1531,	VaF: 0.3885,	ate_train: 1.2889,	ate_test: 1.2959	pehe_train: 1.5024,	pehe_test: 1.5102,	ate_ood: 0.9026,	pehe_ood: 1.0866
7400	Obj: 0.1534,	F: 0.3889,	Cf: 0.4602,	ValObj: 0.1535,	VaF: 0.3890,	ate_train: 1.2695,	ate_test: 1.2754	pehe_train: 1.4897,	pehe_test: 1.4965,	ate_ood: 0.9901,	pehe_ood: 1.2651
7500	Obj: 0.1530,	F: 0.3884,	Cf: 0.4554,	ValObj: 0.1529,	VaF: 0.3883,	ate_train: 1.2964,	ate_test: 1.3024	pehe_train: 1.4825,	pehe_test: 1.4881,	ate_ood: 0.9687,	pehe_ood: 1.1811
7600	Obj: 0.1528,	F: 0.3881,	Cf: 0.4445,	ValObj: 0.1530,	VaF: 0.3884,	ate_train: 1.2645,	ate_test: 1.2713	pehe_train: 1.4324,	pehe_test: 1.4382,	ate_ood: 0.8980,	pehe_ood: 1.0690
7700	Obj: 0.1527,	F: 0.3880,	Cf: 0.4529,	ValObj: 0.1530,	VaF: 0.3884,	ate_train: 1.2549,	ate_test: 1.2616	pehe_train: 1.4535,	pehe_test: 1.4601,	ate_ood: 0.9300,	pehe_ood: 1.1773
7800	Obj: 0.1527,	F: 0.3879,	Cf: 0.4674,	ValObj: 0.1529,	VaF: 0.3883,	ate_train: 1.2910,	ate_test: 1.2980	pehe_train: 1.5152,	pehe_test: 1.5226,	ate_ood: 0.9260,	pehe_ood: 1.1545
7900	Obj: 0.1526,	F: 0.3879,	Cf: 0.4571,	ValObj: 0.1529,	VaF: 0.3883,	ate_train: 1.2719,	ate_test: 1.2784	pehe_train: 1.4730,	pehe_test: 1.4803,	ate_ood: 0.9745,	pehe_ood: 1.2235
8000	Obj: 0.1531,	F: 0.3885,	Cf: 0.4459,	ValObj: 0.1531,	VaF: 0.3886,	ate_train: 1.2461,	ate_test: 1.2517	pehe_train: 1.4312,	pehe_test: 1.4364,	ate_ood: 0.9457,	pehe_ood: 1.1771
8100	Obj: 0.1528,	F: 0.3881,	Cf: 0.4702,	ValObj: 0.1531,	VaF: 0.3885,	ate_train: 1.2849,	ate_test: 1.2920	pehe_train: 1.5171,	pehe_test: 1.5253,	ate_ood: 1.0182,	pehe_ood: 1.3318
8200	Obj: 0.1526,	F: 0.3878,	Cf: 0.4604,	ValObj: 0.1529,	VaF: 0.3883,	ate_train: 1.2668,	ate_test: 1.2743	pehe_train: 1.4771,	pehe_test: 1.4861,	ate_ood: 0.9585,	pehe_ood: 1.2306
8300	Obj: 0.1526,	F: 0.3878,	Cf: 0.4617,	ValObj: 0.1524,	VaF: 0.3877,	ate_train: 1.2873,	ate_test: 1.2941	pehe_train: 1.4952,	pehe_test: 1.5038,	ate_ood: 1.0457,	pehe_ood: 1.3794
8400	Obj: 0.1535,	F: 0.3890,	Cf: 0.4686,	ValObj: 0.1536,	VaF: 0.3891,	ate_train: 1.3227,	ate_test: 1.3288	pehe_train: 1.5406,	pehe_test: 1.5487,	ate_ood: 1.1128,	pehe_ood: 1.4563
8500	Obj: 0.1528,	F: 0.3881,	Cf: 0.4893,	ValObj: 0.1530,	VaF: 0.3883,	ate_train: 1.3266,	ate_test: 1.3331	pehe_train: 1.6006,	pehe_test: 1.6092,	ate_ood: 1.0274,	pehe_ood: 1.3860
8600	Obj: 0.1524,	F: 0.3876,	Cf: 0.4641,	ValObj: 0.1530,	VaF: 0.3884,	ate_train: 1.3043,	ate_test: 1.3116	pehe_train: 1.5069,	pehe_test: 1.5156,	ate_ood: 1.0379,	pehe_ood: 1.3554
8700	Obj: 0.1532,	F: 0.3886,	Cf: 0.4605,	ValObj: 0.1537,	VaF: 0.3892,	ate_train: 1.2466,	ate_test: 1.2532	pehe_train: 1.4630,	pehe_test: 1.4709,	ate_ood: 1.0461,	pehe_ood: 1.4320
8800	Obj: 0.1523,	F: 0.3875,	Cf: 0.4711,	ValObj: 0.1527,	VaF: 0.3879,	ate_train: 1.3019,	ate_test: 1.3085	pehe_train: 1.5306,	pehe_test: 1.5377,	ate_ood: 1.0118,	pehe_ood: 1.3301
8900	Obj: 0.1526,	F: 0.3879,	Cf: 0.4678,	ValObj: 0.1527,	VaF: 0.3880,	ate_train: 1.3246,	ate_test: 1.3308	pehe_train: 1.5384,	pehe_test: 1.5444,	ate_ood: 1.0595,	pehe_ood: 1.3670
9000	Obj: 0.1522,	F: 0.3873,	Cf: 0.4696,	ValObj: 0.1525,	VaF: 0.3877,	ate_train: 1.3051,	ate_test: 1.3118	pehe_train: 1.5255,	pehe_test: 1.5330,	ate_ood: 1.0968,	pehe_ood: 1.4753
9100	Obj: 0.1527,	F: 0.3879,	Cf: 0.4683,	ValObj: 0.1533,	VaF: 0.3887,	ate_train: 1.2939,	ate_test: 1.3010	pehe_train: 1.5063,	pehe_test: 1.5136,	ate_ood: 1.0110,	pehe_ood: 1.3446
9200	Obj: 0.1522,	F: 0.3873,	Cf: 0.4587,	ValObj: 0.1527,	VaF: 0.3880,	ate_train: 1.2967,	ate_test: 1.3036	pehe_train: 1.4890,	pehe_test: 1.4969,	ate_ood: 1.0679,	pehe_ood: 1.4187
9300	Obj: 0.1523,	F: 0.3874,	Cf: 0.4748,	ValObj: 0.1528,	VaF: 0.3880,	ate_train: 1.3026,	ate_test: 1.3098	pehe_train: 1.5339,	pehe_test: 1.5427,	ate_ood: 1.0735,	pehe_ood: 1.4619
9400	Obj: 0.1522,	F: 0.3873,	Cf: 0.4638,	ValObj: 0.1526,	VaF: 0.3878,	ate_train: 1.2977,	ate_test: 1.3041	pehe_train: 1.5047,	pehe_test: 1.5113,	ate_ood: 1.1181,	pehe_ood: 1.5042
9500	Obj: 0.1524,	F: 0.3875,	Cf: 0.4696,	ValObj: 0.1530,	VaF: 0.3883,	ate_train: 1.2741,	ate_test: 1.2809	pehe_train: 1.5013,	pehe_test: 1.5090,	ate_ood: 1.0585,	pehe_ood: 1.4601
9600	Obj: 0.1521,	F: 0.3872,	Cf: 0.4676,	ValObj: 0.1527,	VaF: 0.3879,	ate_train: 1.3009,	ate_test: 1.3080	pehe_train: 1.5158,	pehe_test: 1.5235,	ate_ood: 1.0473,	pehe_ood: 1.3924
9700	Obj: 0.1520,	F: 0.3870,	Cf: 0.4712,	ValObj: 0.1526,	VaF: 0.3878,	ate_train: 1.3098,	ate_test: 1.3170	pehe_train: 1.5298,	pehe_test: 1.5377,	ate_ood: 1.0978,	pehe_ood: 1.4898
9800	Obj: 0.1521,	F: 0.3872,	Cf: 0.4709,	ValObj: 0.1527,	VaF: 0.3879,	ate_train: 1.3083,	ate_test: 1.3158	pehe_train: 1.5306,	pehe_test: 1.5396,	ate_ood: 1.1072,	pehe_ood: 1.5059
9900	Obj: 0.1519,	F: 0.3869,	Cf: 0.4588,	ValObj: 0.1522,	VaF: 0.3873,	ate_train: 1.2735,	ate_test: 1.2805	pehe_train: 1.4742,	pehe_test: 1.4814,	ate_ood: 1.0870,	pehe_ood: 1.4877
10000	Obj: 0.1519,	F: 0.3868,	Cf: 0.4718,	ValObj: 0.1524,	VaF: 0.3875,	ate_train: 1.3020,	ate_test: 1.3085	pehe_train: 1.5282,	pehe_test: 1.5358,	ate_ood: 1.1506,	pehe_ood: 1.6023
10100	Obj: 0.1519,	F: 0.3869,	Cf: 0.4739,	ValObj: 0.1525,	VaF: 0.3876,	ate_train: 1.3031,	ate_test: 1.3104	pehe_train: 1.5359,	pehe_test: 1.5455,	ate_ood: 1.1312,	pehe_ood: 1.5833
